job_name,salary_raw,salary_min,salary_max,company_name,company_type,industry,city,experience,education,job_url,source,soe_category,tags,salary_avg,has_salary
品牌专员,6000-8000元·13薪,6000,8000,青岛啤酒,国企,快速消费品,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000408980J40917824808.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['品牌营销', '品牌推广', '终端生动化']",7000.0,True
销售会计,4000-5000元,4000,5000,北京牵手果蔬饮品股份有限公司,国企,农副产品加工制造,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC469596310J40853299212.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,['销售会计'],4500.0,True
26届应届生招聘-工业工程、物流、供应链管理,8000-10000元,8000,10000,延锋海纳川汽车饰件系统有限公司,国企,汽车研发/制造,北京,无经验,本科,http://www.zhaopin.com/jobdetail/CC120097290J40824245801.htm?refcode=4019&srccode=401903&preactionid=c77b59f3-6a4e-4bfe-91a9-cbdc0a72db8a,zhaopin,国企,"['仓储规划', '供应链物流']",9000.0,True
技术支持工程师,1.1-2万·14薪,11000,20000,北京烁科中科信电子装备有限公司,国企,电子/半导体/集成电路,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC881853230J40806363513.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,[],15500.0,True
咖啡师,4000-6000元,4000,6000,北京牵手果蔬饮品股份有限公司,国企,农副产品加工制造,北京,3-5年,大专,http://www.zhaopin.com/jobdetail/CC469596310J40828656812.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['咖啡店'],5000.0,True
机械英语专利代理师（助理）-国际(J10036),1.6-3万,16000,30000,中国贸促会专利商标事务所有限公司,国企,专利/商标/知识产权,北京,经验不限,硕士,http://www.zhaopin.com/jobdetail/CCL1274117300J40816403905.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,央企,"['机械类', '专利/商标/知识产权']",23000.0,True
数据开发岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843930005.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国有银行,"['数据仓库', 'ETL', 'Sql']",,False
中级Java研发工程师,1.9-2万,19000,20000,北京奈亚信息技术有限公司,国企,计算机软件,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC130401720J40756228601.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['Java', 'SPRINGBOOT', 'Spring', 'SQL', '后端开发']",19500.0,True
内保员,5000-7000元,5000,7000,国投物业有限责任公司北京一分公司,国企,物业管理,北京,经验不限,大专,http://www.zhaopin.com/jobdetail/CC121016320J40601972408.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['秩序维护', '安全巡视', '大堂管理', '包吃包住', '五险一金', '周末双休', '住房公积金', '加班补贴', 'C1驾驶证', '退役军人优待证', '全白班', '写字楼']",6000.0,True
物业总值,5000-6000元,5000,6000,北京中佳如意物业管理服务有限责任公司,国企,物业管理,北京,3-5年,中专/中技,http://www.zhaopin.com/jobdetail/CCL1307940080J40964611004.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['写字楼', '中级中控本', '值班经理']",5500.0,True
电学专利代理师（助理）-国际(J10038),1.6-3万,16000,30000,中国贸促会专利商标事务所有限公司,国企,专利/商标/知识产权,北京,经验不限,硕士,http://www.zhaopin.com/jobdetail/CCL1274117300J40816366105.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,央企,"['涉外专利代理', '电学类', '通信类']",23000.0,True
理论编辑（经济方向）,1-1.3万,10000,13000,求是网传媒(北京)有限公司,国企,广播/影视,北京,1-3年,硕士,http://www.zhaopin.com/jobdetail/CC492948630J40981210604.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['杂志', '文字编辑', '策划编辑']",11500.0,True
渠道销售代表,6000-10000元,6000,10000,泸州大成浓香酒类销售有限公司,国企,快速消费品,北京,1-3年,大专,http://www.zhaopin.com/jobdetail/CC807730920J40916481902.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['渠道销售'],8000.0,True
JAVA开发工程师,1-1.5万,10000,15000,北京长城航空测控技术研究所有限公司,国企,船舶/航空/航天/火车制造,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC390513180J40818723501.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['Java'],12500.0,True
项目经理-TOD建筑与产业发展研究院(J10563),1-1.5万,10000,15000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40485478413.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,地方国企,['建筑项目'],12500.0,True
配送岗,6000-9000元,6000,9000,国药集团联合医疗器械有限公司,国企,医疗设备/器械,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC120804400J40446005304.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['五险一金', '冷链运输']",7500.0,True
数据库运维岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843940505.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国有银行,"['MongoDB', '人大金仓', '达梦']",,False
科研负责人与研究专员,1-2万,10000,20000,清华大学建筑设计研究院有限公司,国企,建筑设备安装,北京,经验不限,博士,http://www.zhaopin.com/jobdetail/CC157349320J40725297105.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['研究员', '副研究员']",15000.0,True
文献修复师（古文献方向）,6000-8000元,6000,8000,北京国图创新文化服务有限公司,国企,广播/影视,北京,1-3年,学历不限,http://www.zhaopin.com/jobdetail/CC246223230J40463676715.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['古文献', '文献修复']",7000.0,True
维修保障分析（北京或西安）,1.2-2.4万,12000,24000,金航数码科技有限责任公司,国企,IT服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000402820J40808866602.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,[],18000.0,True
酒店销售员,1.5-2万,15000,20000,北京中影大酒店有限公司,国企,餐饮服务,北京,1-3年,大专,http://www.zhaopin.com/jobdetail/CC692633520J40830916009.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,['酒店销售员'],17500.0,True
开关电源工程师,1.5-3万,15000,30000,北京中北创新科技发展有限公司,国企,电子/半导体/集成电路,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC121031530J40812791207.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['电源开发', '电源', '研发']",22500.0,True
网站编辑,7000-9000元,7000,9000,工信通(北京)信息技术有限公司,国企,IT服务,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC574573320J40803385213.htm?refcode=4019&srccode=401903&preactionid=ce7ebf23-a87f-472f-ad56-b5bec82d56ff,zhaopin,国企,"['网站编辑', '文字编辑']",8000.0,True
前端开发工程师,1.3-1.7万,13000,17000,北京奈亚信息技术有限公司,国企,计算机软件,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC130401720J40755868101.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['HTML5', 'JavaScript', 'jQuery', 'Bootstrap', 'Vue', 'MVVM']",15000.0,True
秘书（需要会印尼语）,1.3-1.5万·13薪,13000,15000,中智(北京)经济技术合作有限公司,国企,人力资源服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1293627340J40817705311.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['资料管理', '考勤管理', '会务活动', '英语', '印尼语', '五险一金', '周末双休', '法定节假日休', '带薪年假', '节日福利']",14000.0,True
建筑技术质量（2026年应届毕业生）,8000-12000元·13薪,8000,12000,北京市建筑工程装饰集团有限公司,国企,房地产开发,北京,无经验,本科,http://www.zhaopin.com/jobdetail/CC245860110J40943670004.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,"['工程管理', '智能建造', '土木工程']",10000.0,True
项目产品经理,8000-16000元·13薪,8000,16000,古联(北京)数字传媒科技有限公司,国企,新闻/出版,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC306477580J40853726213.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,[],12000.0,True
园区产业招商专员,8000-10000元,8000,10000,北京市神舟力行人力资源管理有限公司,国企,人力资源服务,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC133824830J40782071316.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,"['政府客户', '企业客户', '地推销售']",9000.0,True
化工研发工程师,1.5-2.5万,15000,25000,北京北大先锋科技股份有限公司,国企,石油/石化,北京,经验不限,硕士,http://www.zhaopin.com/jobdetail/CC131513930J40820256109.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['化工产品', '吸附剂']",20000.0,True
给排水工程师-TOD建筑与产业发展研究院(J10560),8000-10000元,8000,10000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40484358313.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,['公共建筑'],9000.0,True
网络制播,8000-10000元,8000,10000,中视科华有限公司北京技术服务分公司,国企,广播/影视,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC519847620J40788175207.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['技术支持'],9000.0,True
中信出版集团-内容中心-短视频运营（抖音）,1-1.2万,10000,12000,北京中信书店有限责任公司,国企,零售/批发,北京,1-3年,本科,http://www.zhaopin.com/jobdetail/CC419477310J40840037305.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['抖音', '小红书', '微信视频号']",11000.0,True
编辑,7000-9000元,7000,9000,国际在线,国企,互联网,北京,3-5年,本科,http://www.zhaopin.com/jobdetail/CC527407320J40910629315.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['文字编辑'],8000.0,True
新媒体编辑实习生（政务）,80-120元/天,80,120,光明网传媒有限公司,国企,广播/影视,北京,无经验,本科,http://www.zhaopin.com/jobdetail/CC339236110J40854085504.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['新闻类'],100.0,True
2B软件销售总监-数字科技研究院(J10635),1.5-2.5万,15000,25000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40745817313.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,['软件销售'],20000.0,True
法务岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40843947005.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国有银行,"['国营企业', 'A类法律职业资格证', '合同事务', '知识产权业务']",,False
转向管柱开发工程师,1-2万,10000,20000,北京海纳川汽车部件股份有限公司北京分公司,国企,汽车零部件,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC487249320J40822776101.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,['底盘系统'],15000.0,True
销售代表（医美产品推广）,1-1.5万,10000,15000,北京科园信海医药经营有限公司,国企,医药批发/零售,北京,3-5年,大专,http://www.zhaopin.com/jobdetail/CC133012800J40876523804.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['皮肤科', '注射类', '皮肤类']",12500.0,True
安全管理岗,面议,0,0,中国银行保险信息技术管理有限公司,国企,保险,北京,经验不限,本科,http://www.zhaopin.com/jobdetail/CC596117920J40764021505.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国有银行,[],,False
出纳行政专员,5000-6000元,5000,6000,北京华辰联众科技有限公司,国企,居民服务,北京,5-10年,大专,http://www.zhaopin.com/jobdetail/CC292999210J40824354807.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['会计初级职称', '周末双休', '五险一金']",5500.0,True
北京区域经理,7000-12000元,7000,12000,北京首都酒业有限公司,国企,快速消费品,北京,3-5年,大专,http://www.zhaopin.com/jobdetail/CC330577410J40821831701.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['招商加盟', '政府客户', 'KA大客户']",9500.0,True
诚招电工 月入6000（包吃 五险一金）,5000-6000元,5000,6000,北京保汇物业管理有限公司,国企,物业管理,北京,3-5年,学历不限,http://www.zhaopin.com/jobdetail/CC493231130J40178901315.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,国企,"['高压电工', '特种作业操作证 （电工）', '电工进网作业许可证（高压）']",5500.0,True
机电工程师-数字设计咨询创研室(J10556),1-2万,10000,20000,北京市建筑设计研究院股份有限公司,国企,建筑设计,北京,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40478988913.htm?refcode=4019&srccode=401903&preactionid=4024bdb7-b927-4c4f-a91f-8a4fea95b5f7,zhaopin,地方国企,"['公共建筑', '高层建筑']",15000.0,True
酒店前厅接待员（广运宾馆分店）,4000-5000元,4000,5000,广州融通天河宾馆有限责任公司,国企,餐饮服务,广州,1-3年,大专,http://www.zhaopin.com/jobdetail/CCL1227698760J40828093502.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['八小时工作制', '五险一金', '加班费', '带薪年假', '宿舍有空调', '酒店前台']",4500.0,True
招聘助理,4000-8000元,4000,8000,中国人寿保险股份有限公司广州市花都支公司,国企,保险,广州,1-3年,大专,http://www.zhaopin.com/jobdetail/CC226557010J40862239413.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,央企,"['销售岗位招聘', '运营岗位招聘', '职能岗位招聘', '社会招聘']",6000.0,True
电气设计师（中级）,1-1.5万,10000,15000,广州市市政工程设计研究总院有限公司,国企,工程技术与设计服务,广州,3-5年,本科,http://www.zhaopin.com/jobdetail/CC266903210J40807471707.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,['设计'],12500.0,True
化工销售经理（煤化工/水煤浆/石膏板）,1.3-2.6万·13薪,13000,26000,中科院广州化学有限公司,国企,石油/石化,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC159765810J40834309305.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,['市场开拓'],19500.0,True
综合维修工（高压）,4000-6000元,4000,6000,广州融通天河宾馆有限责任公司,国企,餐饮服务,广州,1-3年,中专/中技,http://www.zhaopin.com/jobdetail/CCL1227698760J40886749902.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['电工职业资格证书', '配电设备', '电梯设备', '特种作业操作证 （高压电工）']",5000.0,True
工程管理岗(J15505),1.1-1.5万·13薪,11000,15000,深圳市优你家互联网科技有限公司,国企,互联网,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CC342509280J40837676913.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,"['装修管理', '软装项目', '硬装项目']",13000.0,True
会计,8000-12000元·14薪,8000,12000,广州市美术有限公司,国企,装饰装修,广州,3-5年,本科,http://www.zhaopin.com/jobdetail/CC140952880J40888565008.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,"['成本会计', '财务分析', '会计中级职称', '集团公司', '建筑行业', '税务会计']",10000.0,True
销售工程师,6000-12000元,6000,12000,广州广微计量检测技术有限公司,国企,检测/认证,广州,经验不限,大专,http://www.zhaopin.com/jobdetail/CC297383930J40596786307.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['企业客户', '医疗机构', '院校客户', '区域销售', '渠道销售', '网络销售']",9000.0,True
服务管理岗,5000-7000元,5000,7000,中国人民健康保险股份有限公司广东分公司,国企,保险,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC142893540J40855216413.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,央企,['健康管理服务'],6000.0,True
设备巡检员-校招（无害化处理中心）,5000-6000元,5000,6000,广东广业投资集团有限公司,国企,环保,广州,无经验,大专,http://www.zhaopin.com/jobdetail/CC153599410J40912215715.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,['机械设备'],5500.0,True
西餐厅服务员,3000-4000元,3000,4000,广州华侨大厦企业有限公司华厦大酒店,国企,酒店/民宿,广州,经验不限,高中,http://www.zhaopin.com/jobdetail/CC219019420J00525782207.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,['餐饮服务'],3500.0,True
财务经理,1.3-2万·14薪,13000,20000,广州数据集团有限公司,国企,云计算/大数据,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CCL1479122530J40858614702.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,[],16500.0,True
市场拓展岗,8000-10000元,8000,10000,广东旅发创展投资有限公司,国企,酒店/民宿,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1352746790J40836925410.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,[],9000.0,True
洗衣房服务员,3000-4000元·13薪,3000,4000,广州华侨大厦企业有限公司华厦大酒店,国企,酒店/民宿,广州,经验不限,学历不限,http://www.zhaopin.com/jobdetail/CC219019420J40802704311.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['星级酒店', '五险一金', '节日福利', '全勤奖金']",3500.0,True
桥梁设计（外包）,8000-12000元,8000,12000,广州市市政工程设计研究总院有限公司,国企,工程技术与设计服务,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC266903210J40749136307.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,地方国企,['桥梁工程'],10000.0,True
G端客户经理（水利水务应急管理）,1.4-2万,14000,20000,四创科技有限公司,国企,计算机软件,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CC120357980J40693999105.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['政府', '客情维护', '客户挖掘', '区域销售', '面销/陌拜']",17000.0,True
设备工程师,9000-13000元,9000,13000,广州国机密封科技有限公司,国企,橡胶和塑料制品,广州,1-3年,本科,http://www.zhaopin.com/jobdetail/CC848207000J40910237215.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,"['维修/保养', '安装/调试', '非标设备', '机床设备']",11000.0,True
项目经理,1.2-1.5万,12000,15000,广州化工交易中心有限公司,国企,石油/石化,广州,5-10年,本科,http://www.zhaopin.com/jobdetail/CC173540410J40986830704.htm?refcode=4019&srccode=401903&preactionid=6114ac22-c26d-487d-b814-ad45a20b898e,zhaopin,国企,[],13500.0,True
